id_wifi;provinsi;kota_kabupaten;kecamatan;nama_lokasi;alamat;longitude;latitude;tahun;;
13;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
14;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
15;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
16;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
17;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
18;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
19;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
20;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
21;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
22;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
23;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
24;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANDIR;KECAMATAN ANDIR;JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA;107.575;-69.127;2017;;
25;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
26;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
27;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
28;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
29;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
30;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
31;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
32;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
33;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
34;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
35;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
36;JAWA BARAT;KOTA BANDUNG;KECAMATAN ANTAPANI;KECAMATAN ANTAPANI;JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA;107.663;-69.109;2017;;
37;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
38;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
39;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
40;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
41;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
42;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
43;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
44;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
45;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
46;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
47;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
48;JAWA BARAT;KOTA BANDUNG;KECAMATAN ARCAMANIK;KECAMATAN ARCAMANIK;JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA;107.685;-69.181;2017;;
49;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
50;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
51;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
52;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
53;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
54;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
55;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
56;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
57;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
58;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
59;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
60;JAWA BARAT;KOTA BANDUNG;KECAMATAN ASTANA ANYAR;KECAMATAN ASTANA ANYAR;JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA;107.06.00;-69.319;2017;;
61;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
62;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
63;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
64;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
65;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
66;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
67;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
68;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
69;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
70;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
71;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
72;JAWA BARAT;KOTA BANDUNG;KECAMATAN BABAKAN CIPARAY;KECAMATAN BABAKAN CIPARAY;JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA;107.583;-69.373;2017;;
73;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
74;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
75;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
76;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
77;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
78;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
79;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
80;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
81;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
82;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
83;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
84;JAWA BARAT;KOTA BANDUNG;KECAMATAN CICENDO;BADUNG CAFE;JL. DR. CIPTO NO. 3;107.599;-69.066;2017;;
85;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
86;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
87;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
88;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
89;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
90;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
91;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
92;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
93;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
94;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
95;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
96;JAWA BARAT;KOTA BANDUNG;KECAMATAN BOJONGLOA KALER;BALAI RIDWAN KAMIL;JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA;107.597;-69.281;2017;;
97;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
98;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
99;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
100;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
101;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
102;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
103;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
104;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
105;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
106;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
107;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
108;JAWA BARAT;KOTA BANDUNG;KECAMATAN SUMUR BANDUNG;BALAIKOTA BANDUNG;JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT;107.61;-69.114;2017;;
109;JAWA BARAT;KOTA BANDUNG;KECAMATAN BANDUNG KIDUL;KECAMATAN BANDUNG KIDUL;JL. BATUNUNGGAL NO.3, KB. WARU, BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT 40272, INDONESIA;0;0;2017;;
110;JAWA BARAT;KOTA BANDUNG;KECAMATAN BANDUNG KIDUL;KECAMATAN BANDUNG KIDUL;JL. BATUNUNGGAL NO.3, KB. WARU, BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT 40272, INDONESIA;0;0;2017;;
111;JAWA BARAT;KOTA BANDUNG;KECAMATAN BANDUNG KIDUL;KECAMATAN BANDUNG KIDUL;JL. BATUNUNGGAL NO.3, KB. WARU, BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT 40272, INDONESIA;0;0;2017;;
112;JAWA BARAT;KOTA BANDUNG;KECAMATAN BANDUNG KIDUL;KECAMATAN BANDUNG KIDUL;JL. BATUNUNGGAL NO.3, KB. WARU, BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT 40272, INDONESIA;0;0;2017;;
